Pulled,Restaurant,Park,Item,Category,MealPeriods,Description,Price,Source
2026-09-05,Auntie Gravity's Galactic Goodies,Magic Kingdom,Candy Bowl Sundae,Mickey's Not-So-Scary Halloween Party Exclusives,Special Ticketed Event,"Vanilla Soft-serve topped with Chocolate Cone Dip, SNICKERS® bar pieces, TWIX® cookie bar pieces, and M&M’S® Milk Chocolate Candies Halloween Blend",7.99,magic-kingdom/auntie-gravitys-galactic-goodies
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Sautéed Shrimp,Enhancements,Lunch; Dinner; Special,with Citrus Butter,10.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Double-smoked Bacon,Enhancements,Lunch; Dinner; Special,with Onion Jam,10.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Roquefort Fondue,Enhancements,Lunch; Dinner; Special,,6.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Château Shimmer,Signature Non-Alcoholic Drinks,Lunch; Dinner; Special,"Pomegranate Green Tea blended with Hibiscus, Lemon, and a dash of Star Dust",7.75,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Specialty Character Drink,Signature Non-Alcoholic Drinks,Lunch; Dinner; Special,Minute Maid® Zero Sugar Lemonade with flavors of Cotton Candy served in a Souvenir Character Cup,7.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Royal Berry Spritzer,Signature Non-Alcoholic Drinks,Lunch; Dinner; Special,"Blackberry, Pomegranate, and Lime blended with Topo Chico® Blueberry Hibiscus Sparkling Water",6.59,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,French 75,Specialty Cocktails ,Lunch; Dinner,"Fords Gin, Lemon Juice, and Pure Cane Sugar topped with Charles de Fère Reserve Chardonnay Tradition Brut",17.50,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Roses & Rhubarb,Specialty Cocktails ,Lunch; Dinner,"Four Roses Small Batch Kentucky Straight Bourbon, Tempus Fugit Crème de Noyaux Liqueur, and Fee Brothers Rhubarb and Cardamom Bitters",19.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,The Handsome Brute,Specialty Cocktails ,Lunch; Dinner; Special,"Tito's Handmade Vodka, Chambord Liqueur, Pomegranate Juice, and Lemon Juice garnished with a Sugared Rim",18.50,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Enchantée Champagne Brut (Enchanted) Nicolas Feuillatte, Chouilly",Private Label Champagne and Wines,Lunch; Dinner; Special,"This fine French Champagne is a blend of Chardonnay, Pinot Noir, and Pinot Meunier. Lightly floral, with elegant notes of ripe apple and glazed apricot, layered with almond, pie crust, and honey. Delicate on the palate with a lively mousse and a creamy texture. Glass 21 | Bottle 85",89.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"L’ombre de la Bête Chardonnay (Shadow of the Beast) Georges Duboeuf, Emile Beranger, Pouilly-Fuissé Burgundy",Private Label Champagne and Wines,Lunch; Dinner; Special,Pouilly-Fuissé is one of the most prestigious wines from the Maconnais region of Burgundy. This wine is 100% Chardonnay and has been partially aged in French Oak which gives the wine a slight hint of almonds and cinnamon on the nose. Delicate lime and green apple flavors linger on the palate. Glass 19 | Bottle 81,85.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Enchantée Syrah/Mourvèdre Rosé (Enchanted) Jean-Luc Colombo, Méditerranée",Private Label Champagne and Wines,Lunch; Dinner; Special,"Succulently fruity on the palate with aromas of fresh peaches, fennel, and a crisp citrus finish.",56.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"L’ombre de la Bête Vin Rouge (Shadow of the Beast) Jean-Luc Colombo, Les Bartavelles, Châteauneuf-du-Pape, Rhône Valley",Private Label Champagne and Wines,Lunch; Dinner; Special,"Châteauneuf-du-Pape is one of the most renowned appellations of the southern part of the Rhône Valley. This wine is a blend of Syrah, Grenache, and Mourvedre. A powerful and full-bodied wine with rich notes of blueberry, wild herbs, and lots of spice. The palate is mature and rich with velvety tannins, ending with a long finish. Glass 21 | Bottle 85",89.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,Be Our Guest Private Label Wine Sampler,Private Label Champagne and Wines,Lunch; Dinner; Special,A smaller sampling of any three glasses of our Private Label Selections,32.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Trimbach Riesling, Alsace",Sparkling and Wines,Lunch; Dinner; Special,,62.00,magic-kingdom/be-our-guest-restaurant
2026-09-05,Be Our Guest Restaurant,Magic Kingdom,"Charles de Fère Cuvée Jean Louis Blanc de Blancs Brut, France",Sparkling and Wines,Lunch; Dinner; Special,,79.00,magic-kingdom/be-our-guest-restaurant
